signal,group,source_kind,sample_count,valid_fraction,p05,p50,p95,range_p95_p05,step95_standardized
fused.head.loc.z,head,fused,1322,1.0,154.8951398305749,155.84021735400066,156.16986423852063,1.2747244079457403,0.07449314218400102
fused.head.rot.pitch,head,fused,1322,1.0,-9.358970325077772,-5.8020155973224945,-2.41264308448647,6.946327240591302,0.09577238127299109
fused.head.rot.roll,head,fused,1322,1.0,-0.6999290631284423,0.8673178076317418,2.2054997394120854,2.905428802540528,0.14724512391430888
fused.head.rot.yaw,head,fused,1322,1.0,86.34295108677173,88.15459443306935,90.00759743136324,3.664646344591503,0.12516208614799812
fused.left.shoulder.x,shoulders,fused,1322,1.0,2.428304732901697,3.374370814425592,4.261893178088312,1.833588445186615,0.099281627525484
fused.left.shoulder.y,shoulders,fused,1322,1.0,-170.25977123463971,-166.70167825902325,-164.84797023022992,5.411801004409796,0.05183547952748346
fused.left.shoulder.z,shoulders,fused,1322,1.0,141.8908311569732,142.65218293309624,143.47438523412163,1.5835540771484204,0.09637593250324347
fused.left.shoulder_lift_from_pelvis,shoulders,fused,1322,1.0,50.53668229222707,51.29803406835012,52.12023636937551,1.5835540771484418,0.09637593250324217
fused.left.wrist.x,arms_measure_only,fused,1322,1.0,15.022563172442567,28.24933791266168,55.85069651709283,40.82813334465026,0.03426979669661943
fused.left.wrist.y,arms_measure_only,fused,1322,1.0,-173.78709281171186,-152.54647777760846,-127.9099601575218,45.87713265419006,0.041900079731261974
fused.left.wrist.z,arms_measure_only,fused,1322,1.0,90.50285470128472,115.62848603368218,159.0388086998504,68.53595399856567,0.05603588993784492
fused.pelvis.loc.x,pelvis,fused,1322,1.0,0.0,0.0,0.0,0.0,0.0
fused.pelvis.loc.y,pelvis,fused,1322,1.0,-167.75981140136713,-167.75981140136713,-167.75981140136713,0.0,0.0
fused.pelvis.loc.z,pelvis,fused,1322,1.0,91.35414886474612,91.35414886474612,91.35414886474612,0.0,0.0
fused.right.shoulder.x,shoulders,fused,1322,1.0,-3.2648200978211133,-2.325163840191718,-1.415457545655128,1.8493625521659853,0.09845878553802351
fused.right.shoulder.y,shoulders,fused,1322,1.0,-170.12301243031843,-166.75100706303937,-164.82726774896008,5.295744681358343,0.047948305838847655
fused.right.shoulder.z,shoulders,fused,1322,1.0,141.9065034592193,142.62588536382134,143.50440461278373,1.597901153564436,0.09618143803407381
fused.right.shoulder_lift_from_pelvis,shoulders,fused,1322,1.0,50.552354594473165,51.27173649907522,52.15025574803762,1.5979011535644574,0.09618143803407253
fused.right.wrist.x,arms_measure_only,fused,1322,1.0,-55.213365410702586,-24.877944229977487,-12.163924073117125,43.04944133758546,0.029191363847511947
fused.right.wrist.y,arms_measure_only,fused,1322,1.0,-171.0046083756767,-155.6007482835136,-127.57147539342267,43.43313298225402,0.05083580367867263
fused.right.wrist.z,arms_measure_only,fused,1322,1.0,88.86409852147514,116.86904465794976,156.25330483556206,67.38920631408692,0.05702866928483988
fused.torso_forward_proxy,torso,fused,1322,1.0,-5.970571437314613,-2.010247906447532,0.7778297120542278,6.74840114936884,0.046199538349533276
fused.torso_height,torso,fused,1322,1.0,42.09038975529938,42.82932789054834,43.087072517946574,0.9966827626471968,0.07449314218398326
fused.torso_side_proxy,torso,fused,1322,1.0,-0.33592251172440885,0.3180232829116902,0.8699201638753643,1.205842675599773,0.09551294905562402
hmd.loc.x,head,hmd,1322,1.0,-0.730596180694456,0.5180384825297644,1.2789977859088226,2.0095939666032785,0.07587427713153351
hmd.loc.y,head,hmd,1322,1.0,-167.148788721212,-161.96161348903996,-159.43848450268132,7.710304218530666,0.044277747232740694
hmd.loc.z,head,hmd,1322,1.0,162.48890174568112,163.82505726457055,164.3345963084739,1.8456945627927723,0.06728146394541268
hmd.rot.pitch,head,hmd,1322,1.0,-9.358970325077772,-5.8020155973224945,-2.41264308448647,6.946327240591302,0.09577238127299109
hmd.rot.roll,head,hmd,1322,1.0,-0.6999290631284423,0.8673178076317418,2.2054997394120854,2.905428802540528,0.14724512391430888
hmd.rot.yaw,head,hmd,1322,1.0,86.34295108677173,88.15459443306935,90.00759743136324,3.664646344591503,0.12516208614799812
manny.clavicle_l.loc.x,shoulders,manny,1322,1.0,1.2064686091380783,1.2064686091380783,1.2064686091380783,0.0,0.0
manny.clavicle_l.loc.y,shoulders,manny,1322,1.0,-1.6602359144109755,-1.6602359144109755,-1.6602359144109755,0.0,0.0
